symbol,low,high,curr
"['ALPINEHOU', 'ALPINEHOU', '']",17.85,37.5,33.35
"['ADANIPORTS', 'ADANIPORTS', '']",244.1,374.8,362.65
"['ACCELYA', 'ACCELYA', '']",657.2,1229.8,1014.15
"['APLAPOLLO', 'APLAPOLLO', '']",279.1,477.0,428.6
"['ARCOTECH', 'ARCOTECH', '']",323.0,410.0,357.75
"['A D S Diagnostics Ltd', '', '523031']",10.8,11.34,11.34
"['Aarti Industries Ltd', 'AARTIIND', '524208']",230.2,456.0,428.0
"['ABB Ltd', 'ABB', '500002']",981.35,1526.3,1242.6
"['Abbott India Ltd', 'ABBOTINDIA', '500488']",2550.0,4948.0,4781.25
"['ACE Software Exports Ltd', '', '531525']",6.12,16.83,15.05
"['Acrysil Ltd', '', '524091']",470.25,799.0,687.0
"['Adf Foods Ltd', 'ADFFOODS', '519183']",51.8,89.45,72.45
"['Adinath Textiles Ltd', '', '514113']",1.15,2.08,1.73
"['Aditya Birla Nuvo Ltd', 'ABIRLANUVO', '500303']",1422.35,2344.85,2073.2
"['Advanta India Ltd', 'ADVANTA', '532840']",285.0,594.0,555.0
"['Aegis Logistics Ltd', 'AEGISCHEM', '500003']",312.6,919.9,785.0
"['Agro Tech Foods Ltd', 'ATFL', '500215']",543.2,714.9,610.45
"['Ahluwalia Contracts India Ltd', 'AHLUCONT', '532811']",137.25,297.0,244.7
"['Ajanta Pharma Ltd', 'AJANTPHARM', '532331']",630.66,1720.0,1429.1
"['Ajcon Global Services Ltd', '', '511692']",10.05,19.4,17.2
"['Akruti City Ltd', 'ACKRUTI', '532799']",85.35,134.45,119.0
"['Akzo Nobel India Limited ', 'AKZOINDIA', '500710']",1150.0,1551.0,1290.3
"['Alembic Pharmaceuticals Limited', 'APLLTD', '533573']",369.7,791.9,705.15
"['Alicon Castalloy Ltd', 'ALICON', '531147']",146.1,418.0,360.5
"['Allcargo Global Logistics Ltd', 'ALLCARGO', '532749']",220.35,377.4,305.1
"['Allsec Technologies Ltd', 'ALLSEC', '532633']",19.3,50.95,45.25
"['Alpa Laboratories Ltd', 'ALPA', '532878']",9.15,21.45,19.1
"['Alpine Housing Development Corporation Ltd', '', '526519']",17.85,37.5,33.35
"['Alufluoride Ltd', '', '524634']",9.89,17.5,14.48
"['Amara Raja Batteries Ltd', 'AMARAJABAT', '500008']",541.0,1128.0,1022.15
"['Amines & Plasticizers Ltd', '', '506248']",10.02,41.8,33.95
"['Amradeep Industries Ltd', '', '531681']",5.6,6.9,5.6
"['Ankush Finstock Ltd', '', '531519']",2.2,9.0,8.15
"['ANS Agro Industries Ltd', '', '531406']",11.17,26.1,25.9
"['Apar Industries Ltd', 'APARINDS', '532259']",321.0,508.9,417.35
"['Apollo Finvest India Ltd', '', '512437']",8.29,18.67,15.0
"['Apollo Hospitals Enterprise Ltd', 'APOLLOHOSP', '508869']",1016.05,1478.7,1342.75
"['Aravali Securities & Finance Ltd', 'ARAVALISEC', '512344']",3.2,7.41,6.1
"['Arcotech Ltd', '', '532914']",323.0,410.0,357.75
"['Arihants Securities Ltd', '', '531017']",6.65,7.71,6.65
"['Aroni Commercials Ltd', '', '512273']",36.15,69.65,67.4
"['Arrow Coated Products Ltd', '', '516064']",350.1,557.55,487.65
"['Artech Power Products Ltd', '', '517481']",12.5,25.1,25.1
"['Asahi India Glass Ltd', 'ASAHIINDIA', '515030']",90.3,182.0,152.05
"['Ashok Leyland Ltd', 'ASHOKLEY', '500477']",36.25,99.65,92.15
"['Ashoka Buildcon Ltd', 'ASHOKA', '533271']",110.05,221.0,179.25
"['Asia HR Technologies Ltd', '', '532435']",3.31,9.65,8.92
"['Asian Independent Network Ltd', '', '519485']",1.22,7.98,7.98
"['Asian Paints Ltd', 'ASIANPAINT', '500820']",612.0,926.8,858.25
"['Ask Me Info Hubs Ltd', '', '506874']",1.4,5.6,4.84
"['Associated Finlease Ltd', '', '531192']",3.92,11.44,9.88
"['Astral Poly Technik Ltd', 'ASTRAL', '532830']",338.0,534.8,435.35
"['AstraZeneca Pharma India Ltd', 'ASTRAZEN', '506820']",781.0,1298.8,1184.45
"['Atul Ltd', 'ATUL', '500027']",1035.0,1598.0,1305.6
"['Aurobindo Pharma Ltd', 'AUROPHARMA', '524804']",381.5,832.2,756.4
"['Autolite India Ltd', 'AUTOLITIND', '500029']",21.2,75.0,60.2
"['Avanti Feeds Ltd', 'AVANTI', '512573']",1244.05,3248.0,2662.85
"['Aventis Pharma Ltd', 'AVENTIS', '500674']",2932.0,4580.0,3975.05
"['Avon Organics Ltd', '', '531541']",9.81,61.95,51.1
"['Axis Gold ETF', 'AXISGOLD', '533570']",2323.0,2806.9,2429.6
"['B Nanji Enterprises Ltd', '', '526594']",7.0,13.85,12.0
"['Baid Leasing & Finance Company Ltd', '', '511724']",16.15,47.55,45.9
"['Bajaj Auto Ltd', 'BAJAJ-AUTO', '532977']",1912.5,2695.0,2279.55
"['Bajaj Corp Ltd', 'BAJAJCORP', '533229']",250.1,522.0,496.2
"['Bajaj Electricals Ltd', 'BAJAJELEC', '500031']",199.0,308.0,248.45
"['Bajaj Finance Ltd', 'BAJFINANCE', '500034']",2400.5,5720.2,5052.5
"['Bajaj Finserv Ltd', 'BAJAJFINSV', '532978']",975.0,2160.0,1815.05
"['Bajaj Holdings & Investment Ltd', 'BAJAJHLDNG', '500490']",1206.5,1694.05,1626.4
"['Bala Techno Global Ltd', '', '511395']",0.28,0.57,0.47
"['Bala Techno Industries Ltd', '', '514199']",1.1,3.5,3.41
"['Balmer Lawrie & Company Ltd', 'BALMLAWRIE', '523319']",505.0,682.0,597.15
"['Balmer Lawrie Investments Ltd', '', '532485']",242.55,299.0,283.2
"['Bank of Baroda', 'BANKBARODA', '532134']",102.23,228.9,185.2
"['BASF India Ltd', 'BASF', '500042']",970.1,1499.7,1203.8
