Name,filters passed,NSE,BSE,Sector,epsQ,epsQ%,salesQ,salesQ%,ATPMQ,ATPQ,epsA,epsA%
A K Spintex,1,,539300,miscellaneous,"['1.10', '-0.86', '--', '0.91', '0.43', '--', '--', '--', '--', '--']",[155.81395348837214],"['--', '--', '--', '--', '--', '--', '--', '--', '--', '--']",[-1],[],"['0.55', '-0.43', '0.22', '0.17', '0.21', '-0.05', '0.09', '0.23', '0.13', '-0.17']","['0.24', '0.11']",[]
A.K.Capital Ser,1,,530499,financegeneral,"['8.13', '7.17', '6.11', '6.35', '8.11', '8.25', '6.88', '7.81', '7.80', '17.40']","[0.24660912453762454, -13.090909090909092, -11.191860465116273, -18.693982074263765, 3.974358974358969, -52.58620689655172]","['18.96', '33.86', '22.99', '17.74', '20.03', '26.48', '20.92', '23.99', '23.33', '34.87']","[-44.00472533963378, 47.28142670726403, 29.594137542277345, -11.432850723914141, -24.35800604229607, 26.577437858508596, -12.796998749478936, 2.8289755679382775, -33.09435044450817]","[0.28270042194092826, 0.1396928529238039, 0.5550239234449761, 0.23618940248027062, 0.26709935097353965, 0.2054380664652568, 0.2170172084130019, 0.2150896206752814, 0.2207458208315474, 0.3295096071121308]","['5.36', '4.73', '12.76', '4.19', '5.35', '5.44', '4.54', '5.16', '5.15', '11.49']","['27.74', '30.74', '47.98', '47.02', '81.52']","[-9.759271307742354, -35.93163818257607, 2.041684389621424, -42.32090284592737]"
A2Z Infra Eng,1,A2ZINFRA,533292,powertransmissionequipment,"['-3.61', '-12.66', '-3.58', '-4.70', '6.49', '-9.91', '-5.01', '-4.49', '-6.87', '-3.91']",[],"['81.56', '63.16', '53.50', '43.50', '56.23', '78.03', '75.29', '103.48', '77.59', '115.56']","[29.132362254591527, 18.056074766355135, 22.988505747126435, -22.63916059043215, -27.937972574650782, 3.6392615221144835, -27.241979126401233, 33.36770202345663, -32.85739010038075]","[-0.44053457577243743, -1.7343255224825842, -0.5151401869158878, -0.8022988505747126, 0.8557709407789437, -0.9422017172882224, -0.49369106122991097, -0.3217046772323154, -0.6570434334321432, -0.25121149186569747]","['-35.93', '-109.54', '-27.56', '-34.90', '48.12', '-73.52', '-37.17', '-33.29', '-50.98', '-29.03']","['-15.91', '-26.28', '-7.25', '2.61', '15.12']",[]
Aadhaar Venture,1,,531611,miscellaneous,"['--', '--', '--', '--', '--', '--', '--', '--', '--', '--']",[],"['6.48', '6.30', '5.87', '5.11', '4.68', '4.55', '3.33', '3.68', '4.79', '35.24']","[2.857142857142867, 7.325383304940369, 14.872798434442263, 9.188034188034202, 2.857142857142855, 36.636636636636624, -9.510869565217392, -23.173277661795407, -86.40749148694665]","[0.012345679012345678, -0.014285714285714285, 0.034071550255536626, 0.033268101761252444, 0.008547008547008548, 0.03736263736263737, 0.006006006006006006, 0.005434782608695652, 0.004175365344467641, -0.01674233825198638]","['0.08', '-0.09', '0.20', '0.17', '0.04', '0.17', '0.02', '0.02', '0.02', '-0.59']","['--', '--', '--', '0.07', '0.06']",[]
Aadi Industries,1,,530027,financeleasinghirepurchase,"['-0.03', '1.25', '-0.04', '0.23', '--', '-13.00', '-0.05', '-0.05', '-0.19', '-0.69']",[],"['--', '--', '--', '--', '--', '--', '--', '--', '--', '--']",[-1],[],"['-0.03', '1.25', '-0.04', '0.02', '-4.78', '-12.67', '-0.10', '-0.53', '-0.19', '-0.69']","['-3.54', '-13.48', '-1.22', '-2.42', '2.85']",[]
Aagam Capital,1,,531866,financeleasinghirepurchase,"['0.07', '0.05', '0.06', '0.06', '0.06', '-0.04', '0.06', '0.05', '0.02', '0.04']","[16.666666666666682, 225.0, 0.0, 19.99999999999999, 199.99999999999994, -200.0]","['--', '--', '--', '--', '0.04', '0.04', '0.04', '--', '--', '--']",[-1],[],"['0.03', '0.03', '0.03', '0.03', '0.03', '-0.02', '0.03', '0.03', '0.01', '0.02']","['0.23', '0.09', '-5.26', '-7.32', '0.45']","[155.55555555555557, 101.71102661596959, 28.142076502732245, -1726.6666666666665]"
Aamcol Tools,1,,505212,machinetools,"['--', '--', '-2.40', '0.94', '0.53', '1.07', '-0.53', '0.13', '--', '--']",[],"['2.87', '3.05', '3.06', '3.52', '3.21', '3.09', '2.84', '2.76', '2.64', '3.10']","[-5.9016393442622865, -0.3267973856209226, -13.068181818181818, 9.657320872274147, 3.8834951456310716, 8.802816901408452, 2.898550724637684, 4.5454545454545325, -14.838709677419354]","[-0.04181184668989547, -0.08852459016393444, -0.11764705882352941, 0.03977272727272728, 0.024922118380062305, 0.05177993527508091, -0.028169014084507043, 0.007246376811594204, -0.05303030303030303, -0.0064516129032258064]","['-0.12', '-0.27', '-0.36', '0.14', '0.08', '0.16', '-0.08', '0.02', '-0.14', '-0.02']","['--', '--', '--', '13.50', '--']",[]
Aankit Granites,1,,523511,ceramicsgranite,"['-0.64', '-1.23', '-0.84', '-1.68', '-0.20', '-0.06', '0.01', '0.02', '0.02', '0.01']",[],"['--', '--', '0.25', '0.57', '0.80', '1.15', '0.84', '1.45', '1.32', '0.71']",[-1],[],"['-0.52', '-1.00', '-0.69', '-1.37', '-0.16', '-0.05', '0.01', '0.02', '0.01', '0.01']","['-3.95', '-0.02', '0.01', '0.05', '0.07']",[]
Aarey Drugs,1,,524412,pharmaceuticals,"['0.36', '0.05', '0.09', '0.16', '0.34', '-0.15', '0.15', '0.46', '0.15', '-0.32']","[5.8823529411764595, 133.33333333333334, -40.0, -65.21739130434784, 126.66666666666669, 53.125]","['41.85', '77.19', '52.77', '48.88', '34.61', '36.99', '58.34', '57.44', '46.96', '49.08']","[-45.78313253012048, 46.276293348493446, 7.958265139116204, 41.230858133487445, -6.434171397675054, -36.595817620843334, 1.5668523676880324, 22.316865417376484, -4.319478402607982]","[0.014336917562724013, 0.0010364036792330613, 0.002842524161455372, 0.005523731587561375, 0.016758162380814793, -0.006758583400919167, 0.004285224545766198, 0.014101671309192203, 0.005110732538330494, -0.011002444987775062]","['0.60', '0.08', '0.15', '0.27', '0.58', '-0.25', '0.25', '0.81', '0.24', '-0.54']","['0.65', '0.62', '0.39', '0.19', '1.65']","[4.8387096774193585, 58.974358974358964, 105.26315789473684, -88.48484848484848]"
Aarti Drugs,1,AARTIDRUGS,524348,pharmaceuticals,"['7.04', '7.79', '18.79', '15.49', '14.24', '18.13', '11.69', '11.36', '9.78', '11.40']","[-50.56179775280899, -57.03254274682846, 60.73567151411463, 36.35563380281691, 45.60327198364009, 59.03508771929823]","['263.29', '277.61', '259.59', '285.88', '259.60', '281.79', '221.76', '247.80', '218.59', '220.17']","[-5.158315622636069, 6.941715782580237, -9.196166223590325, 10.123266563944519, -7.874658433585292, 27.06980519480521, -10.508474576271194, 13.362916876343844, -0.7176272880047164]","[0.06475749173914695, 0.06793703396851698, 0.08763819869794677, 0.0655869595634532, 0.06640986132511555, 0.07789488626281982, 0.06385281385281386, 0.055528652138821626, 0.0541653323573814, 0.06272425852750148]","['17.05', '18.86', '22.75', '18.75', '17.24', '21.95', '14.16', '13.76', '11.84', '13.81']","['32.04', '50.21', '37.36', '19.50', '18.58']","[-36.188010356502694, 34.39507494646681, 91.58974358974359, 4.951560818083971]"
