Name,filters passed,NSE,BSE,Sector,epsQ,epsQ%,salesQ,salesQ%,ATPMQ,ATPQ,epsA,epsA%,ROE,DEratio
Avanti Feeds,7,AVANTIFEED,512573,aquaculture,"[50.33, 24.52, 37.99, 37.63, 28.21, 15.96, 24.71, 20.45, 15.66, 7.28]","[78.0, 54.0, 54.0, 84.0, 80.0, 119.0]","[597.45, 378.41, 381.75, 525.66, 472.88, 273.93, 274.43, 297.94, 266.32, 156.2]","[26.0, 38.0, 39.0, 76.0, 78.0, 75.0]","[8.0, 6.0, 9.0, 7.0, 5.0, 5.0, 8.0, 6.0, 5.0, 4.0]","[45.71, 22.27, 34.5, 34.18, 25.62, 14.5, 22.44, 18.58, 14.23, 6.61]","[128.35, 76.79, 33.24, 34.35, 4.27]","[67.0, 131.0, -3.0, 704.0]",44.83,"[0.21, 0.31, 0.49]"
Caplin Labs,7,CAPLIPOINT,524742,pharmaceuticals,"[8.4, 7.01, 6.03, 5.64, 4.58, 4.54, 5.33, 2.51, 1.05, 2.43]","[83.0, 54.0, 13.0, 125.0, 336.0, 87.0]","[67.55, 60.92, 57.46, 54.38, 45.93, 41.39, 40.85, 39.76, 35.93, 29.11]","[47.0, 47.0, 41.0, 37.0, 28.0, 42.0]","[19.0, 17.0, 16.0, 16.0, 15.0, 17.0, 20.0, 10.0, 4.0, 13.0]","[12.7, 10.6, 9.11, 8.53, 6.93, 6.87, 8.05, 3.79, 1.59, 3.67]","[27.09, 16.97, 9.47, 5.42, 4.3]","[60.0, 79.0, 75.0, 26.0]",45.54,"[0.04, 0.09, 0.22]"
National Stand,7,,504882,engineering,"[5.72, 11.03, 9.03, 0.14, 1.13, -0.05, 1.34, 5.22, 9.12, 2.54]","[406.0, 22160.0, 574.0, -97.0, -88.0, -102.0]","[34.33, 79.88, 58.72, 5.67, 9.07, 8.49, 19.06, 31.48, 51.69, 17.33]","[279.0, 841.0, 208.0, -82.0, -82.0, -51.0]","[33.0, 28.0, 31.0, 5.0, 25.0, -1.0, 14.0, 33.0, 35.0, 29.0]","[11.44, 22.07, 18.05, 0.28, 2.26, -0.1, 2.68, 10.43, 18.24, 5.07]","[21.19, 15.62, 2.9, 1.08, -4.07]","[36.0, 439.0, 169.0, 127.0]",55.98,"[2.84, 55.27]"
Tata Elxsi,7,TATAELXSI,500408,computerssoftware,"[11.47, 16.53, 9.18, 7.59, 6.69, 7.6, 6.9, 6.3, 3.32, 2.48]","[71.0, 118.0, 33.0, 20.0, 102.0, 206.0]","[243.52, 231.28, 221.49, 205.88, 190.76, 211.51, 198.6, 189.79, 172.2, 157.63]","[28.0, 9.0, 12.0, 8.0, 11.0, 34.0]","[15.0, 13.0, 13.0, 11.0, 11.0, 11.0, 11.0, 10.0, 6.0, 5.0]","[35.72, 29.84, 28.6, 23.64, 20.83, 23.67, 21.48, 19.61, 10.35, 7.71]","[33.05, 24.12, 6.74, 10.9, 10.19]","[37.0, 258.0, -38.0, 7.0]",36.32,[]
Vidhi Dyestuffs,7,,531717,dyespigments,"[0.76, 0.74, 0.71, 0.56, 0.49, 0.47, 0.24, 0.24, 0.25, 0.23]","[55.0, 57.0, 196.0, 133.0, 96.0, 104.0]","[59.05, 48.91, 47.53, 46.3, 40.26, 36.13, 29.54, 36.16, 38.96, 37.8]","[47.0, 35.0, 61.0, 28.0, 3.0, -4.0]","[6.0, 8.0, 7.0, 6.0, 6.0, 6.0, 4.0, 3.0, 3.0, 3.0]","[3.8, 3.72, 3.55, 2.78, 2.44, 2.32, 1.19, 1.22, 1.25, 1.15]","[2.48, 1.19, 0.83, 0.67, 0.74]","[108.0, 43.0, 24.0, -9.0]",27.47,"[1.02, 1.18, 1.27]"
Apollo Tyres,6,APOLLOTYRE,500877,tyres,"[4.46, 3.59, 3.19, 3.19, 2.76, 2.57, 2.19, 2.16, 1.86, 1.75]","[62.0, 40.0, 46.0, 48.0, 48.0, 47.0]","[2124.14, 2240.65, 2108.53, 2235.03, 2294.06, 2194.97, 2143.56, 2106.85, 2164.71, 2036.17]","[-7.0, 2.0, -2.0, 6.0, 6.0, 8.0]","[11.0, 8.0, 8.0, 7.0, 6.0, 6.0, 5.0, 5.0, 4.0, 4.0]","[227.11, 182.42, 161.94, 161.67, 139.05, 129.62, 110.3, 109.13, 93.57, 88.23]","[12.7, 8.78, 6.2, 3.6, 3.93]","[45.0, 42.0, 72.0, -8.0]",19.74,"[0.24, 0.33, 0.81]"
Arrow Coated,6,ARROWCOAT,516064,plastics,"[1.57, 0.97, 1.81, 1.68, 1.09, 0.37, 1.46, 1.44, 0.62, 0.38]","[44.0, 162.0, 24.0, 17.0, 76.0, -3.0]","[5.1, 5.29, 6.03, 5.86, 2.71, 5.08, 3.92, 4.39, 4.04, 3.01]","[88.0, 4.0, 54.0, 33.0, -33.0, 69.0]","[36.0, 22.0, 35.0, 34.0, 47.0, 9.0, 44.0, 38.0, 18.0, 14.0]","[1.84, 1.14, 2.12, 1.97, 1.28, 0.44, 1.71, 1.69, 0.72, 0.41]","[5.58, 3.88, 1.51, -1.67, -0.26]","[44.0, 157.0, 190.0, -542.0]",29.79,"[0.01, 0.16, 0.63]"
Asahi India,6,ASAHIINDIA,515030,glassglassproducts,"[0.9, 0.92, 0.47, 0.82, -0.14, 0.37, -0.02, -0.88, -1.86, -1.05]","[743.0, 149.0, 2450.0, 193.0, 92.0, 135.0]","[526.13, 518.85, 485.19, 536.04, 517.13, 545.58, 527.96, 534.57, 496.97, 491.98]","[2.0, -5.0, -8.0, 0.0, 4.0, 11.0]","[4.0, 4.0, 2.0, 4.0, -1.0, 1.0, -0.0, -3.0, -6.0, -3.0]","[21.88, 22.37, 11.37, 19.89, -3.42, 7.56, -0.67, -17.41, -29.7, -16.76]","[2.07, -1.96, -5.74, -3.67, 0.95]","[206.0, 66.0, -56.0, -486.0]",16.15,"[3.62, 4.21, 25.43]"
ATV Projects,6,ATVPROJ,500028,engineeringheavy,"[0.22, 6.77, 0.03, 0.1, 0.01, 0.09, 0.1, 0.1, 0.03, 0.17]","[2100.0, 7422.0, -70.0, 0.0, -67.0, -47.0]","[11.33, 39.83, 10.97, 9.06, 2.91, 14.32, 18.28, 12.64, 10.77, 11.97]","[289.0, 178.0, -40.0, -28.0, -73.0, 20.0]","[11.0, 4.0, 2.0, 2.0, 2.0, 3.0, 3.0, 4.0, 2.0, 8.0]","[1.19, 1.73, 0.24, 0.15, 0.06, 0.43, 0.51, 0.52, 0.26, 0.92]","[6.85, 0.32, 0.24, 0.24, 0.43]","[2041.0, 33.0, 0.0, -44.0]",-1.0,[]
Borosil Glass,6,BOROGLASS,502219,glassglassproducts,"[48.48, 47.26, 23.16, 80.09, 13.03, 37.7, 36.12, 11.15, 38.6, 20.53]","[272.0, 25.0, -36.0, 618.0, -66.0, 84.0]","[40.17, 55.85, 48.29, 43.08, 27.83, 48.21, 43.41, 37.1, 26.72, 41.61]","[44.0, 16.0, 11.0, 16.0, 4.0, 16.0]","[36.0, 25.0, 14.0, 56.0, 14.0, 24.0, 25.0, 9.0, 43.0, 15.0]","[14.57, 14.21, 6.96, 24.07, 3.92, 11.34, 10.85, 3.36, 11.6, 6.17]","[163.53, 123.57, 64.81, 85.58, 46.65]","[32.0, 91.0, -24.0, 83.0]",7.05,[]
