Name,filters passed,NSE,BSE,Sector,epsQ,epsQ%,salesQ,salesQ%,ATPMQ,ATPQ,epsA,epsA%
ADS Diagnostic ,4,,523031,hospitalsmedicalservices,"['2.72', '0.26', '0.09', '0.40', '0.14', '0.36', '0.08', '0.12', '-0.08', '-0.81']","[1842.8571428571427, -27.777777777777775, 12.499999999999993, 233.33333333333334, 275.00000000000006, 144.44444444444443]","['2.78', '2.01', '1.21', '2.74', '1.47', '2.15', '2.41', '1.91', '0.87', '1.30']","[38.30845771144279, 66.11570247933884, -55.839416058394164, 86.39455782312928, -31.627906976744185, -10.788381742738599, 26.1780104712042, 119.54022988505749, -33.07692307692308]","[0.21582733812949642, 0.02985074626865672, 0.01652892561983471, 0.03284671532846715, 0.02040816326530612, 0.037209302325581395, 0.008298755186721992, 0.015706806282722512, -0.022988505747126436, -0.13846153846153844]","['0.60', '0.06', '0.02', '0.09', '0.03', '0.08', '0.02', '0.03', '-0.02', '-0.18']","['0.39', '0.20', '-0.50', '0.05', '0.35']","[95.0, 140.0, -1100.0, -85.71428571428572]"
Alfa ICA,4,,530973,miscellaneous,"['0.84', '0.01', '1.05', '0.95', '0.61', '0.30', '0.05', '0.56', '0.56', '--']","[37.704918032786885, -96.66666666666667, 2000.0, 69.64285714285711, 8.928571428571416]","['12.85', '8.01', '15.69', '16.59', '14.73', '9.87', '14.39', '16.08', '15.88', '12.17']","[60.42446941323346, -48.94837476099426, -5.424954792043401, 12.62729124236252, 49.24012158054713, -31.410701876302998, -10.509950248756205, 1.2594458438286997, 30.484798685291707]","[0.0264591439688716, 0.0012484394506866417, 0.026768642447418736, 0.022905364677516575, 0.01697216564833673, 0.0121580547112462, 0.001389854065323141, 0.013681592039800997, 0.017632241813602016, -0.03286770747740345]","['0.34', '0.01', '0.42', '0.38', '0.25', '0.12', '0.02', '0.22', '0.28', '-0.40']","['2.63', '1.76', '1.24', '0.49', '1.64']","[49.43181818181818, 41.935483870967744, 153.0612244897959, -70.1219512195122]"
Avanti Feeds,4,AVANTIFEED,512573,aquaculture,"['50.33', '24.52', '37.99', '37.63', '28.21', '15.96', '24.71', '20.45', '15.66', '7.28']","[78.41191066997517, 53.63408521303257, 53.743423715095105, 84.00977995110026, 80.14048531289912, 119.23076923076923]","['597.45', '378.41', '381.75', '525.66', '472.88', '273.93', '274.43', '297.94', '266.32', '156.20']","[57.884305383050126, -0.8749181401440667, -27.377011756648777, 11.161394011165617, 72.62804366078925, -0.18219582407171228, -7.8908505068134485, 11.87293481525984, 70.49935979513445]","[0.07650849443468072, 0.058851510266641996, 0.09037328094302555, 0.06502301868127687, 0.054178649974623586, 0.05293323111743876, 0.08176948584338448, 0.06236154930522923, 0.05343196155001502, 0.042317541613316266]","['45.71', '22.27', '34.50', '34.18', '25.62', '14.50', '22.44', '18.58', '14.23', '6.61']","['128.35', '76.79', '33.24', '34.35', '4.27']","[67.14415939575463, 131.01684717208184, -3.2314410480349323, 704.4496487119438]"
B&A; Packaging,4,,523186,packaging,"['2.67', '0.17', '1.98', '1.37', '1.41', '-0.07', '0.68', '2.14', '0.27', '-0.26']","[89.36170212765958, 342.85714285714283, 191.17647058823525, -35.981308411214954, 422.2222222222222, 73.07692307692307]","['14.80', '9.62', '9.06', '14.30', '13.08', '10.05', '8.17', '13.49', '8.76', '8.99']","[53.84615384615387, 6.181015452538617, -36.64335664335665, 9.327217125382267, 30.149253731343272, 23.011015911872715, -39.43661971830986, 53.99543378995434, -2.558398220244721]","[0.0891891891891892, 0.009355509355509356, 0.10816777041942605, 0.04755244755244755, 0.05351681957186544, -0.0029850746268656712, 0.04161566707466341, 0.07857672349888807, 0.014840182648401827, -0.01446051167964405]","['1.32', '0.09', '0.98', '0.68', '0.70', '-0.03', '0.34', '1.06', '0.13', '-0.13']","['4.93', '3.02', '0.03', '3.56', '--']","[63.245033112582774, 9966.666666666668, -99.15730337078652]"
Cosboard Ind,4,,530859,paper,"['0.93', '3.48', '0.18', '0.59', '0.16', '0.52', '-0.11', '0.14', '0.03', '1.07']","[481.25, 569.2307692307692, 263.6363636363636, 321.42857142857133, 433.33333333333337, -51.40186915887851]","['13.62', '8.23', '11.82', '9.64', '11.82', '9.13', '7.47', '9.77', '7.85', '6.63']","[65.4921020656136, -30.37225042301184, 22.61410788381742, -18.443316412859556, 29.463307776560782, 22.22222222222224, -23.541453428863868, 24.45859872611465, 18.40120663650075]","[0.029368575624082235, 0.18226002430133656, 0.00676818950930626, 0.025933609958506222, 0.005922165820642978, 0.024096385542168672, -0.006693440428380188, 0.006141248720573183, 0.003821656050955414, 0.0693815987933635]","['0.40', '1.50', '0.08', '0.25', '0.07', '0.22', '-0.05', '0.06', '0.03', '0.46']","['5.35', '0.63', '0.19', '0.13', '1.02']","[749.2063492063492, 231.57894736842107, 46.15384615384615, -87.25490196078431]"
Eveready Ind,4,EVEREADY,531508,drycells,"['2.19', '0.75', '2.11', '2.43', '1.46', '0.17', '0.62', '0.51', '0.57', '-0.30']","[50.0, 341.17647058823525, 240.32258064516125, 376.47058823529414, 156.14035087719301, 156.66666666666666]","['347.93', '274.75', '325.23', '354.29', '323.49', '256.99', '296.45', '319.34', '279.57', '227.55']","[26.635122838944497, -15.521323371152729, -8.202320133224195, 9.521159850381778, 25.876493248764543, -13.310844999156682, -7.16790881192459, 14.225417605608607, 22.860909690177973]","[0.045670106055815826, 0.01983621474067334, 0.04713587307443962, 0.04978972028564171, 0.0327676280565087, 0.004864002490369275, 0.015280823073030867, 0.011586396943696375, 0.01473691740887792, -0.009448472863107009]","['15.89', '5.45', '15.33', '17.64', '10.60', '1.25', '4.53', '3.70', '4.12', '-2.15']","['6.74', '1.87', '0.70', '-10.99', '5.42']","[260.42780748663097, 167.14285714285717, 106.36942675159236, -302.76752767527677]"
High Ground Ent,4,,517080,trading,"['5.39', '4.34', '1.62', '2.88', '1.98', '3.41', '1.38', '0.74', '1.80', '0.56']","[172.2222222222222, 27.272727272727266, 17.391304347826104, 289.18918918918916, 9.999999999999996, 508.92857142857133]","['54.07', '38.29', '47.18', '52.95', '24.11', '23.58', '27.47', '11.64', '13.50', '16.83']","[41.21180464873335, -18.84272997032641, -10.897072710103876, 119.61841559518874, 2.247667514843092, -14.160902803057883, 135.99656357388315, -13.777777777777775, -19.786096256684484]","[0.09506195672276678, 0.09610864455471403, 0.02628232301822806, 0.046836638338054765, 0.050186644545831605, 0.07972858354537744, 0.027666545322169642, 0.035223367697594495, 0.07333333333333333, 0.05644682115270351]","['5.14', '3.68', '1.24', '2.48', '1.21', '1.88', '0.76', '0.41', '0.99', '0.95']","['9.94', '7.36', '3.70', '5.49', '-0.66']","[35.054347826086946, 98.91891891891892, -32.60473588342441, 931.8181818181819]"
Safari Ind,4,,523025,plastics,"['11.37', '7.36', '-1.61', '7.54', '0.81', '-1.11', '-5.13', '5.82', '4.77', '3.89']","[50.79575596816975, 808.6419753086419, 68.61598440545808, 29.55326460481099, -83.0188679245283, -128.53470437017995]","['80.38', '57.69', '45.78', '63.88', '43.78', '38.91', '32.40', '51.38', '27.58', '30.09']","[39.33090656959612, 26.015727391874172, -28.33437695679399, 45.911375057103704, 12.516062708815229, 20.092592592592588, -36.94044375243286, 86.29441624365485, -8.341641741442345]","[0.056357302811644694, 0.05009533714681921, -0.013761467889908256, 0.0353788353162179, 0.005481955230698949, -0.00848111025443331, -0.04722222222222223, 0.03386531724406384, 0.05184916606236403, 0.0385510136257893]","['4.53', '2.89', '-0.63', '2.26', '0.24', '-0.33', '-1.53', '1.74', '1.43', '1.16']","['11.81', '0.39', '-2.08', '-2.37', '8.85']","[2928.205128205128, 118.75, 12.236286919831224, -126.77966101694915]"
United Textiles,4,,521188,textilesspinningcottonblended,"['0.11', '0.04', '0.08', '0.10', '0.08', '0.05', '0.04', '0.06', '0.03', '0.03']","[37.5, -20.000000000000004, 100.0, 66.66666666666669, 166.66666666666669, 66.66666666666669]","['3.50', '2.61', '2.84', '3.79', '1.78', '2.58', '2.73', '3.09', '2.17', '2.86']","[34.09961685823755, -8.098591549295776, -25.06596306068602, 112.92134831460672, -31.007751937984494, -5.494505494505491, -11.6504854368932, 42.3963133640553, -24.125874125874127]","[0.008571428571428572, 0.003831417624521073, 0.007042253521126761, 0.007915567282321899, 0.011235955056179775, 0.003875968992248062, 0.003663003663003663, 0.006472491909385114, 0.009216589861751152, 0.003496503496503497]","['0.03', '0.01', '0.02', '0.03', '0.02', '0.01', '0.01', '0.02', '0.02', '0.01']","['0.30', '0.23', '0.17', '0.06', '0.02']","[30.43478260869564, 35.29411764705882, 183.33333333333337, 199.99999999999994]"
ABB,3,ABB,500002,infrastructuregeneral,"['2.71', '2.56', '3.97', '2.12', '2.25', '2.44', '2.76', '1.68', '1.90', '2.01']","[20.444444444444443, 4.9180327868852505, 43.840579710144944, 26.190476190476204, 18.421052631578952, 21.393034825870657]","['1906.47', '1785.01', '2204.89', '1821.38', '1794.40', '1809.98', '2174.91', '1762.40', '1720.54', '1953.36']","[6.804443672584469, -19.043126868007015, 21.056012474058118, 1.5035666518056185, -0.8607829920772565, -16.77908511156783, 23.406150703586004, 2.4329570948655728, -11.91894991194659]","[0.03013422713181954, 0.030414395437560575, 0.03816970461111439, 0.024695560509064553, 0.026577128845296474, 0.028552801688416445, 0.026939045753617396, 0.021601225601452563, 0.023446127378613693, 0.021788098455993776]","['57.45', '54.29', '84.16', '44.98', '47.69', '51.68', '58.59', '38.07', '40.34', '42.56']","['10.78', '8.46', '6.48', '8.71', '2.98']","[27.42316784869974, 30.555555555555557, -25.602755453501725, 192.2818791946309]"
